,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Mar Del Plata,AR,61.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Gillette,US,61.11,overcast clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
56,Semey,KZ,63.88,overcast clouds,50.4111,80.2275,Grand Hotel Semey
57,Carnarvon,AU,64.29,clear sky,-24.8667,113.6333,Hospitality Carnarvon
63,Miles City,US,60.69,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
70,Hobart,AU,60.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
72,Vila Franca Do Campo,PT,64.2,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
99,Berlin,DE,64.42,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
115,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
120,Csanadpalota,HU,64.58,overcast clouds,46.25,20.7333,Forczeg
127,Uglovskoye,RU,62.51,overcast clouds,51.3557,80.1942,"""Premium"""
129,Copiapo,CL,60.49,clear sky,-27.3667,-70.3333,Antay Casino Hotel
167,Hasaki,JP,61.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
171,Chuy,UY,63.72,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
175,Constitucion,CL,60.96,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
180,Santa Maria,BR,63.7,moderate rain,-29.6842,-53.8069,Hotel Morotin
181,Maun,BW,64.36,clear sky,-19.9833,23.4167,Enviro Villa
190,Veinticinco De Mayo,AR,62.98,overcast clouds,-35.4323,-60.1727,Estancia La Rosada
211,Yulara,AU,63.93,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
218,Huilong,CN,61.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
226,Port Lincoln,AU,61.52,few clouds,-34.7333,135.8667,Port Lincoln Hotel
229,La Rioja,ES,60.58,overcast clouds,42.25,-2.5,Casa Concejos
241,Kaseda,JP,63.0,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
248,Iskitim,RU,62.74,light rain,54.6366,83.3045,"Kristall, Gostinichnyy Kompleks"
253,Sept-Iles,CA,64.92,few clouds,50.2001,-66.3821,Comfort Inn
257,Lasa,IT,60.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
262,East London,ZA,61.74,few clouds,-33.0153,27.9116,Tu Casa
266,Katsuura,JP,64.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
302,Ulladulla,AU,62.76,light rain,-35.35,150.4667,Sandpiper Motel
332,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
362,Palaikastron,GR,64.6,clear sky,35.2,26.25,Marina Village
365,Glendive,US,61.7,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
369,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
378,Lata,PT,64.81,clear sky,40.1629,-8.3327,Casa Maquia
390,Komsomolskiy,UZ,61.52,broken clouds,40.4272,71.7189,Ikathouse
393,Nelson Bay,AU,64.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
434,Nurota,UZ,63.77,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
451,Charters Towers,AU,64.53,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
461,Biloela,AU,64.81,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
466,Malinovoye Ozero,RU,63.01,overcast clouds,51.6753,79.7825,Solonyy Bereg
467,Horta,PT,62.24,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
476,Curuguaty,PY,63.05,overcast clouds,-24.4694,-55.6945,La Esquina del Tereré
481,Asau,RO,60.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
488,General Roca,AR,62.01,clear sky,-39.0333,-67.5833,Hotel El Recreo
522,Okato,NZ,64.18,moderate rain,-39.2,173.8833,Stony River House
526,Samfya,ZM,63.7,clear sky,-11.3649,29.5565,Chita Lodge Samfya
528,Mountain Home,US,62.08,broken clouds,43.133,-115.6912,Mountain Home Inn
531,Maslovare,BA,62.64,overcast clouds,44.5656,17.5336,ЉУБАН сеоски туризам
534,Podborany,CZ,63.99,clear sky,50.2294,13.4119,Hotel & Motorest V Údolí Zlatého potoka
556,Jackson,US,63.55,overcast clouds,42.4165,-122.8345,Agate Village Apartments
561,Broken Hill,AU,60.98,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
569,Ahipara,NZ,61.52,light rain,-35.1667,173.1667,Ahipara Holiday Park
592,Balkhash,KZ,61.43,overcast clouds,46.844,74.9804,Family
595,Clavier,BE,64.96,scattered clouds,50.4005,5.3524,Gîte La Lavandière
598,Inverell,AU,61.66,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
611,Ushtobe,KZ,62.89,overcast clouds,45.2514,77.9838,Filipin Squad
631,Cuamba,MZ,64.8,few clouds,-14.8031,36.5372,Hotel Vision
638,Inhambane,MZ,64.38,few clouds,-23.865,35.3833,Oceano
646,Port Macquarie,AU,64.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
655,Villarrica,PY,63.61,moderate rain,-25.75,-56.4333,Mansión Reljuv Tours SA
682,Timiryazevskiy,RU,61.09,broken clouds,56.49,84.8769,Kovcheg
